source	target	movies	imdbRating
Aamir Khan	Comedy	1	8.4
Aamir Khan	Drama	1	8.4
Madhavan	Comedy	1	8.4
Madhavan	Drama	1	8.4
Sharman Joshi	Comedy	1	8.4
Sharman Joshi	Drama	1	8.4
Kareena Kapoor	Comedy	1	8.4
Kareena Kapoor	Drama	2	8.299999
Russell Crowe	Adventure	3	7.866667
Russell Crowe	Crime	2	7.75
Russell Crowe	Drama	8	7.3125005
Christian Bale	Adventure	4	7.2000003
Christian Bale	Crime	3	8.099999
Christian Bale	Drama	8	7.7625003
Logan Lerman	Adventure	2	6.8
Logan Lerman	Crime	1	7.7
Logan Lerman	Drama	2	7.85
Dallas Roberts	Adventure	1	7.7
Dallas Roberts	Crime	1	7.7
Dallas Roberts	Drama	2	8.5
Eminem	Drama	1	7.0
Eminem	Music	1	7.0
Kim Basinger	Drama	2	7.25
Kim Basinger	Music	1	7.0
Mekhi Phifer	Drama	1	7.0
Mekhi Phifer	Music	1	7.0
Brittany Murphy	Drama	4	6.675
Brittany Murphy	Music	1	7.0
Heath Ledger	Comedy	2	6.85
Heath Ledger	Drama	5	7.5
Heath Ledger	Romance	3	7.2666664
Julia Stiles	Comedy	1	7.2
Julia Stiles	Drama	3	6.6
Julia Stiles	Romance	2	6.7
Joseph Gordon-Levitt	Comedy	2	6.8999996
Joseph Gordon-Levitt	Drama	3	7.066666
Joseph Gordon-Levitt	Romance	2	6.8999996
Larisa Oleynik	Comedy	1	7.2
Larisa Oleynik	Drama	1	7.2
Larisa Oleynik	Romance	1	7.2
Martin Balsam	Crime	1	8.9
Martin Balsam	Drama	5	7.8799996
John Fiedler	Crime	1	8.9
John Fiedler	Drama	2	7.6
Lee J. Cobb	Crime	1	8.9
Lee J. Cobb	Drama	2	8.049999
E.G. Marshall	Crime	1	8.9
E.G. Marshall	Drama	1	8.9
Chiwetel Ejiofor	Biography	2	7.9500003
Chiwetel Ejiofor	Drama	2	7.9500003
Chiwetel Ejiofor	History	1	8.1
Dwight Henry	Biography	1	8.1
Dwight Henry	Drama	2	7.7000003
Dwight Henry	History	1	8.1
Dickie Gravois	Biography	1	8.1
Dickie Gravois	Drama	1	8.1
Dickie Gravois	History	1	8.1
Bryan Batt	Biography	1	8.1
Bryan Batt	Drama	1	8.1
Bryan Batt	History	1	8.1
Jennifer Garner	Comedy	4	5.875
Jennifer Garner	Fantasy	1	6.1
Jennifer Garner	Romance	2	5.8999996
Mark Ruffalo	Comedy	3	6.633333
Mark Ruffalo	Fantasy	2	6.3999996
Mark Ruffalo	Romance	3	6.633333
Judy Greer	Comedy	1	6.1
Judy Greer	Fantasy	1	6.1
Judy Greer	Romance	1	6.1
Andy Serkis	Comedy	1	6.1
Andy Serkis	Fantasy	1	6.1
Andy Serkis	Romance	1	6.1
Antonio Banderas	Action	2	6.5
Antonio Banderas	Adventure	4	6.275
Antonio Banderas	History	1	6.6
Diane Venora	Action	1	6.6
Diane Venora	Adventure	1	6.6
Diane Venora	History	1	6.6
Dennis Storhøi	Action	1	6.6
Dennis Storhøi	Adventure	1	6.6
Dennis Storhøi	History	1	6.6
Vladimir Kulich	Action	1	6.6
Vladimir Kulich	Adventure	1	6.6
Vladimir Kulich	History	1	6.6
Zac Efron	Comedy	5	5.4800005
Zac Efron	Drama	4	5.2250004
Zac Efron	Family	4	5.2250004
Leslie Mann	Comedy	5	6.3599997
Leslie Mann	Drama	2	6.2
Leslie Mann	Family	1	6.4
Thomas Lennon	Comedy	1	6.4
Thomas Lennon	Drama	1	6.4
Thomas Lennon	Family	1	6.4
Matthew Perry	Comedy	3	6.3000007
Matthew Perry	Drama	1	6.4
Matthew Perry	Family	1	6.4
Sean Penn	Drama	8	7.5624995
Naomi Watts	Drama	2	7.95
Danny Huston	Drama	2	7.6
Carly Nahon	Drama	1	7.7
Edward Norton	Drama	9	7.5666666
Philip Seymour Hoffman	Drama	7	7.3714285
Barry Pepper	Drama	2	8.15
Rosario Dawson	Drama	4	6.8
Brian Kerwin	Comedy	2	6.8999996
Brian Kerwin	Romance	2	6.8999996
Charli Barcena	Comedy	1	6.1
Charli Barcena	Romance	1	6.1
Peyton List	Comedy	1	6.1
Peyton List	Romance	1	6.1
Jane Pfitsch	Comedy	1	6.1
Jane Pfitsch	Romance	1	6.1
Alex Palmer	Drama	1	7.6
Alex Palmer	Horror	1	7.6
Alex Palmer	Sci-Fi	1	7.6
Bindu De Stoppani	Drama	1	7.6
Bindu De Stoppani	Horror	1	7.6
